"","Column","P_Range"
"504","Copia.13_CP.LTR",0.00811816096818768
"505","Copia.13_ECa.I",5.98286940419069e-14
"506","Copia.13_FV.I",1.02639437544561e-13
"507","Copia.13_GM.I",6.09158322909746e-43
"508","Copia.13_JC.I",0.00023533075797704
"509","Copia.13_JC.LTR",3.14147622259607e-10
"510","Copia.13_LU.I",1.4077738795252e-12
"511","Copia.13_Mad.I",2.16880921029709e-09
"512","Copia.13_MN.LTR",0.000351801162027585
"513","Copia.13_NN.I",1.88477588780182e-10
"514","Copia.13_OS.I",1.06814617956745e-15
"515","Copia.13_PAb.I",2.85197729954041e-26
"516","Copia.13_PPe.I",7.46436510338587e-17
"517","Copia.13_PX.I",0.000506590789815683
"518","Copia.13_SB.LTR",2.69778171282611e-22
"519","Copia.13_Sit.I",6.51630933707688e-07
"520","Copia.13_TC.I",1.27141080471465e-36
"521","Copia.130_BRa.I",2.15253444404827e-12
"522","Copia.130_BRa.LTR",1.11703197493147e-07
"523","Copia.130_SB.I",5.09191080961704e-13
"524","Copia.131_SB.I",8.23131479789806e-14
"525","Copia.132_BRa.I",5.65570161376302e-06
"526","Copia.134_BRa.I",0.000145160609324307
"527","Copia.134_SB.I",0.000684219483233831
"528","Copia.135_BRa.I",0.00802704703990167
"529","Copia.135_BRa.LTR",9.36338971664099e-11
"530","Copia.135_SB.I",2.05959075103057e-08
"531","Copia.136_BRa.I",2.20384872318089e-06
"532","Copia.136_SB.I",0.859487331567503
"533","Copia.139_SB.I",6.17115422962092e-14
"534","Copia.14_ATr.LTR",4.21801057316928e-24
"535","Copia.14_BD.I",9.44677394658329e-27
"536","Copia.14_BRa.I",0.126071373860987
"537","Copia.14_Cia.I",1.90000905395977e-52
"538","Copia.14_Cia.LTR",4.285977367741e-48
"539","Copia.14_CP.I",2.89095014146511e-38
"540","Copia.14_ECa.I",2.23802333276153e-15
"541","Copia.14_ECa.LTR",2.86351498721434e-15
"542","Copia.14_EPa.I",2.24092163675365e-11
"543","Copia.14_FV.I",1.6646955044799e-13
"544","Copia.14_FV.LTR",2.27585944072067e-22
"545","Copia.14_GM.I",1.841761066669e-32
"546","Copia.14_GM.LTR",0.00298434067527794
"547","Copia.14_GR.I",1.89363095828126e-15
"548","Copia.14_JC.LTR",0.234892135631373
"549","Copia.14_Mad.I",2.40878451690249e-26
"550","Copia.14_MN.I",7.04417629482292e-28
"551","Copia.14_MN.LTR",3.67862183125691e-12
"552","Copia.14_NN.I",2.58683108497768e-14
"553","Copia.14_OS.LTR",2.84381107806288e-10
"554","Copia.14_PPe.I",4.81362723292575e-06
"555","Copia.14_PPe.LTR",1.14740771670081e-05
"556","Copia.14_RC.I",0.0132188357248101
"557","Copia.14_TC.I",6.37509502295851e-08
"558","Copia.141_SB.I",5.58000337740652e-13
"559","Copia.141_SB.LTR",3.99812112374368e-07
"560","Copia.143_SB.I",4.35600426777217e-16
"561","Copia.14B_OS.I",2.23910446191255e-31
"562","Copia.15_AIp.I",0.000479889066302611
"563","Copia.15_ATr.I",7.53029621743463e-10
"564","Copia.15_BD.I",3.12498947100887e-07
"565","Copia.15_BD.LTR",1.52906982326261e-05
"566","Copia.15_Cia.I",3.19646234437377e-107
"567","Copia.15_CP.I",3.61101735611402e-07
"568","Copia.15_CP.LTR",0.191564201963636
"569","Copia.15_ECa.I",4.79680371342611e-07
"570","Copia.15_FV.I",1.8898672310377e-09
"571","Copia.15_GM.I",0.000122481407072009
"572","Copia.15_GM.LTR",9.86868522869252e-14
"573","Copia.15_GR.I",1.5999018557004e-05
"574","Copia.15_JC.I",2.43298953683273e-06
"575","Copia.15_LU.I",0.148977098219199
"576","Copia.15_Mad.I",9.01201780661891e-21
"577","Copia.15_MN.I",2.8035165176886e-08
"578","Copia.15_NN.I",1.94015999194373e-63
