"","Column","P_Year","Estimate_Year","P_Latitude","Estimate_Latitude","P_Interaction","Estimate_Interaction","FDR_Year","FDR_Latitude","FDR_Interaction"
"147","Athila6B_I",0.38322487629822,0.0049243849404875,0.440871390012521,0.214675304540064,0.456882054058252,-0.000105397058533864,0.468314294067698,0.568344796571517,0.585541033028628
"148","ATHILA6C_I",0.32767161816455,0.00720895417162693,0.525960721350443,0.230312387147772,0.544232586581932,-0.000112010207669725,0.413654193373704,0.644426176409175,0.660336440728704
"149","ATHILA6C_LTR",0.187927598863064,-0.00634888719077402,0.0781213146654627,-0.419343959421335,0.0755279956162866,0.000215174026368977,0.268277163591721,0.186397140830966,0.186625327387992
"150","Athila7_I",0.00241183073256231,0.575343453143872,0.0404320062691231,19.1090233606187,0.0440756145227045,-0.00954781421629596,0.0159197694298292,0.145496647798038,0.153894412664813
"151","Athila7LTR",0.0445356657256463,0.0309908548927478,0.152913403689153,1.08624410723176,0.159136471730479,-0.000544211587177498,0.0885366783454877,0.276344939196232,0.286415807585045
"152","Athila8A_I",0.00410174847908273,0.0400209828354529,0.00990459230661071,1.77215761045827,0.0102618995146345,-0.000897021724103517,0.019540659721698,0.131146101653109,0.139930101644707
"153","Athila8B_I",0.716864303365729,0.00305357930719309,0.983165832558731,-0.00876283898468421,0.96474746720504,9.33556752945269e-06,0.770465616323495,0.98858468114606,0.977170441350829
"154","Athila8BLTR",0.0392475904309135,0.0138903237067927,0.0859863287490218,0.57016963342301,0.0946744442421401,-0.000282246688724671,0.0808825205502613,0.196329210706825,0.210961302927658
"155","ATHPOGO",0.00114238918967311,0.0595130822508942,0.00956399651959932,2.33289097031187,0.0106064857492243,-0.00117001240807297,0.0143190051641272,0.131146101653109,0.139930101644707
"156","ATHPOGON1",0.106662703041093,0.0138731753733043,0.18954515677062,0.556151316272867,0.195825003807281,-0.000278893167335424,0.172012515633842,0.318121752268471,0.326758885616545
"157","ATIS112A",0.390713825697621,0.0101289863997851,0.752331623760857,0.183617624278027,0.782244606523807,-8.17966383473737e-05,0.475128549440846,0.822380798688909,0.846355667237301
"158","ATLANTYS.I_OS",0.00172725386649062,0.0416456200621225,0.0109986539652456,1.66350949176625,0.0120419728682091,-0.000835409587461373,0.0145173084879815,0.131146101653109,0.139930101644707
