TE,mean_UK,fdr_uk,mean_France,fdr_f,mean_Belgium,fdr_b,mean_spain,fdr_spain,mean_slope,fdr_time
ltr.1_family.651,111.1666667,0.137064002,143.9666667,0.022266554,125.3859649,0.943918824,181.7826087,5.45E-12,0.033032166,0.020967173
ltr.1_family.652,42,0.241053526,51.26666667,0.082768537,44.96491228,0.740086064,67.13043478,7.71E-13,0.035406821,0.015258776
ltr.1_family.653,57,0.164893166,71.53333333,0.055361127,64.71929825,0.851385061,88.2173913,7.62E-15,0.028708953,0.044402375
ltr.1_family.654,25.16666667,0.21508267,35.73333333,0.055014923,30.77192982,0.749171623,47.65217391,1.41E-12,0.034964868,0.017429579
ltr.1_family.655,13.5,0.652679867,15.13333333,0.123923742,14.75438596,0.641974542,17.95652174,4.70E-10,0.012145369,0.380725781
ltr.1_family.656,11.16666667,0.154434591,12.83333333,0.265134196,12.78947368,0.657437619,13.91304348,5.75E-06,0.016922485,0.241401093
ltr.1_family.657,24,0.133187334,30.93333333,0.076592251,27.94736842,0.866172947,38.13043478,4.87E-15,0.021972577,0.124854937
ltr.1_family.658,32.66666667,0.504081026,40.83333333,0.018711847,35.52631579,0.991976297,50.04347826,8.17E-11,0.019143117,0.167726061
ltr.1_family.659,30,0.160181997,37.7,0.184666917,33.80701754,0.690695671,48.56521739,2.57E-15,0.025118689,0.075166247
ltr.1_family.66,2.166666667,0.640293484,2.5,0.58686231,2.298245614,0.587377881,2.52173913,0.347136686,0.008827279,0.53086993
ltr.1_family.660,75.5,0.163082276,91.03333333,0.013292791,82.85964912,0.897244685,103.0434783,2.15E-17,0.029810571,0.033725468
ltr.1_family.661,214,0.141669258,263.8666667,0.081033227,241.5614035,0.891554276,329.7826087,1.06E-15,0.036042469,0.015017931
ltr.1_family.662,14,0.768877108,14.9,0.046417776,14.52631579,0.707314011,15.34782609,0.000213528,0.018127898,0.20803403
ltr.1_family.663,45.66666667,0.84217744,46.46666667,0.065105472,45.59649123,0.882122393,48.04347826,1.01E-10,0.003962493,0.79929771
ltr.1_family.664,3.333333333,0.410074926,4.833333333,0.453816795,4.280701754,0.87275995,6.565217391,6.69E-07,0.010602237,0.466644192
ltr.1_family.665,31,0.291541451,35.23333333,0.262168536,34,0.990413095,41.39130435,2.21E-13,0.039501033,0.014308386
ltr.1_family.666,77,0.258026929,106.2,0.053734531,87.33333333,0.648050736,153.6956522,6.96E-14,0.040954983,0.014308386
ltr.1_family.667,247.1666667,0.126040094,279.8666667,0.17886081,259.8596491,0.70437691,320.9130435,3.27E-16,0.024137121,0.090146002
ltr.1_family.668,949.6666667,0.191379743,1134.066667,0.031251611,1044.175439,0.965402671,1318.173913,3.05E-17,0.029210794,0.042968759
ltr.1_family.669,0.666666667,0.855822446,0.966666667,0.157829276,0.771929825,0.982641665,1.304347826,0.00013422,0.012174444,0.409973289
ltr.1_family.67,986.3333333,0.332786916,1108.366667,0.051955666,1052.596491,0.878255469,1305,3.72E-18,0.020087736,0.16199301
ltr.1_family.670,183.8333333,0.139289592,222.3666667,0.089878425,204.3684211,0.928721784,279.6956522,4.52E-19,0.030793085,0.03006091
ltr.1_family.671,90.16666667,0.186375453,103.4666667,0.06800227,96.77192982,0.860941729,111.7391304,1.13E-19,0.010147978,0.484173171
ltr.1_family.672,16.5,0.693267481,17.5,0.454323935,17.03508772,0.904199888,19.43478261,2.49E-15,0.019055526,0.171516222
ltr.1_family.673,70.66666667,0.600169883,72.3,0.75375567,72.03508772,0.922358885,76.86956522,6.75E-12,0.013120671,0.360539937
