Samp,Modified.Reason.,Type,number.of.reads,number.of.mapped.reads,percent_reads_aligned,std_numberofreads,number.of.supplementary.alignments,number.of.secondary.alignments,number.of.duplicated.reads,mean.mapping.quality,GC.percentage,general.error.rate,mean.coverageData,std.coverageData,Country,Year,lat,lon,Herbarium,CatalogNumber,State,K3Q2S1964_LD,K3Q1S1964_LD,K3Q3S1964_LD,MaxK3_LD,PC_LD1,PC_LD2,PC_LD3,PC_LD4,PC_LD5,PC_LD6,PC_LD7,PC_LD8,PC_LD9,PC_LD10,RANGE,TimeBin,PCOASamp,PcoaGroups,PcoaGroupRegion,X,Region,PcoaYR,N_S,SampleN,H_C,Heterozygosity,NREAD,COVERAGE,AC_COVERAGE,AC_COUNT,AC_2_COVERAGE,AC_2_COUNT,LI_COVERAGE,LI_COUNT,stdAC,stdLI,geno_Hb7a1,geno_Hb7a2,geno_Hb7b,geno_Hb9,geno_Hb13
Antwerp_36_12,No,Contemporary,37992842,36760099,0.967553283,4.801359464,737301,0,3597399,33.2112,39.31%,0.017,4.8187,14.1514,Belgium,2018,51.219,4.402,,,NA,0.561257744,1.00E-09,0.438742255,0.561257744,-0.009169683,-0.032141852,0.019400377,-0.058629085,0.110222902,-0.198948081,-0.022823246,0.062182773,0.106080821,0.128844756,EUR,Contemp,Belgium,Belgium,Belgium,Belgium,,Belgium,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_36_13,No,Contemporary,6861168,6560996,0.956250598,-0.146469844,98531,0,558229,30.2626,42.32%,0.016,0.8016,3.6681,Belgium,2018,51.219,4.402,,,NA,0.589375173,0.060459177,0.35016565,0.589375173,0.000435958,-0.023792045,-0.006129786,-0.010187183,0.019770058,-0.035607836,-0.015839735,0.006547449,0.033963803,0.002313412,EUR,Contemp,Belgium,Belgium,Belgium,Belgium,,Belgium,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_36_14,No,Contemporary,6721138,6438929,0.958011724,-0.168725138,87591,0,583026,31.0224,43.33%,0.0155,0.7671,3.9478,Belgium,2018,51.219,4.402,,,NA,0.546894146,0.08526541,0.367840443,0.546894146,-0.00050425,-0.020040227,-0.013334422,-0.005732543,0.005694961,-0.054784054,-0.009557869,0.001844866,0.032903464,-0.00880742,EUR,Contemp,Belgium,Belgium,Belgium,Belgium,,Belgium,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_36_15,Yes(LowCoverage),Contemporary,2635590,2388306,0.906175088,-0.818050778,41762,0,194975,33.0349,41.13%,0.0162,0.3163,1.5482,Belgium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_36_2,Yes(LowCoverage),Contemporary,365780,351500,0.96096014,-1.178796957,6160,0,7271,32.6397,40.26%,0.0167,0.0457,0.3298,Belgium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_36_4,No,Contemporary,9588602,8470188,0.883360056,0.287007581,172178,0,1213809,33.6609,39.05%,0.0145,1.167,4.3424,Belgium,2018,51.219,4.402,,,NA,0.453584487,0.109540819,0.436874693,0.453584487,-0.00631371,-0.013193391,0.030355066,-0.016923978,0.021677661,-0.015326718,-0.000127277,-0.02521252,0.011693807,0.008044401,EUR,Contemp,Belgium,Belgium,Belgium,Belgium,,Belgium,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_36_7,No,Contemporary,10155096,9678352,0.953053718,0.377041789,141289,0,876209,28.9415,43.66%,0.0155,1.1894,6.2188,Belgium,2018,51.219,4.402,,,NA,0.674297083,1.00E-09,0.325702916,0.674297083,0.001287829,-0.035747607,-0.004069964,-0.007423966,0.029616511,-0.051779066,-0.030400903,-0.000689459,0.04255851,0.015772737,EUR,Contemp,Belgium,Belgium,Belgium,Belgium,,Belgium,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_36_8,No,Contemporary,5649246,4750934,0.840985505,-0.339083425,98941,0,701982,35.1678,38.53%,0.015,0.6662,2.9518,Belgium,2018,51.219,4.402,,,NA,0.44911548,0.011190622,0.539693898,0.539693898,-0.017073905,-0.021886267,0.020268508,-0.022711439,0.024869387,-0.010732676,-0.000305547,-0.012804253,0.024060882,-0.011753545,EUR,Contemp,Belgium,Belgium,Belgium,Belgium,,Belgium,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_36_9,Yes(LowCoverage),Contemporary,3848702,3329451,0.865084124,-0.625248068,52646,0,272707,30.7957,43%,0.0158,0.4176,2.5343,Belgium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_37_1,No,Contemporary,14584458,14123843,0.968417407,1.081010586,212199,0,1283827,30.868,42.04%,0.0158,1.7081,6.7382,Belgium,2018,51.219,4.402,,,NA,0.667563102,1.00E-09,0.332436897,0.667563102,0.001648052,-0.031884318,-0.005354767,-0.020223788,0.039480872,-0.092451515,-0.031218744,0.012998558,0.061729639,0.005850999,EUR,Contemp,Belgium,Belgium,Belgium,Belgium,,Belgium,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
