"","Samp","PC_LD1","PC_LD2","Country","Year"
"761","TRHS286",0.029020091,-0.038977476,"Herbarium",1914
"762","TRHS287",0.030632369,0.046375654,"Herbarium",NA
"763","TRHS289",0.033695518,-0.039652959,"Herbarium",1966
"764","TRHS290",0.035335314,-0.034627436,"Herbarium",1982
"765","TRHS291",0.022690376,-0.037245106,"Herbarium",1982
"766","TRHS292",0.035587164,-0.037871626,"Herbarium",1889
"767","TRHS293",0.022496373,-0.021474613,"Herbarium",1887
"768","TRHS294",0.019330996,-0.026080083,"Herbarium",1985
"769","TRHS297",0.036623824,-0.033437528,"Herbarium",1898
"770","TRHS298",0.026069075,-0.037593291,"Herbarium",1956
"771","TRHS299",0.019441516,-0.03450117,"Herbarium",1993
"772","TRHS300",0.035707698,-0.02897265,"Herbarium",1875
"773","TRHS301",0.015891464,-0.037811557,"Herbarium",2004
"774","TRHS302",0.033308751,-0.039530346,"Herbarium",1939
"775","TRHS303",0.019941306,-0.040119305,"Herbarium",2003
"776","TRHS304",0.018404625,-0.023859695,"Herbarium",1972
"777","TRHS306",0.032034914,-0.038775345,"Herbarium",2002
"778","TRHS307",0.031179419,-0.027018792,"Herbarium",1894
"779","TRHS309",0.029315909,-0.038642777,"Herbarium",1967
"780","TRHS310",0.025978694,-0.042633024,"Herbarium",1977
"781","TRHS312",0.022956332,-0.040217888,"Herbarium",1967
"782","TRHS313",0.029581981,-0.03719736,"Herbarium",1968
"783","TRHS314",0.008465648,0.035862848,"Herbarium",1941
"784","TRHS316",0.038317764,-0.035240249,"Herbarium",1897
"785","TRHS317",0.034126285,-0.032139927,"Herbarium",1894
"786","TRHS318",0.038303502,-0.036590945,"Herbarium",NA
"787","TRHS321",0.037045891,-0.038914469,"Herbarium",2005
"788","TRHS322",0.028723451,-0.037316406,"Herbarium",1980
"789","TRHS323",0.034606017,-0.03673255,"Herbarium",2009
"790","TRHS324",0.027850951,0.019800047,"Herbarium",2007
"791","TRHS325",0.032514954,0.068037448,"Herbarium",2002
"792","TRHS326",0.020509354,-0.007763746,"Herbarium",1995
"793","TRHS327",0.022230115,-0.037138809,"Herbarium",2009
"794","TRHS328",0.032563173,-0.036646488,"Herbarium",2000
"795","TRHS329",0.033882569,-0.037278631,"Herbarium",1892
"796","TRHS331",0.013445246,0.041438414,"Herbarium",1966
"797","TRHS332",0.030745838,-0.039002377,"Herbarium",1930
"798","TRHS334",0.033544332,-0.038017647,"Herbarium",2008
"799","TRHS335",0.031677368,-0.042110082,"Herbarium",1927
"800","TRHS337",0.037288509,0.068576181,"Herbarium",1990
"801","TRHS338",0.04182206,0.069028608,"Herbarium",1984
"802","TRHS339",0.040379211,0.066339338,"Herbarium",1987
"803","TRHS340",0.041248388,0.069932933,"Herbarium",1993
"804","TRHS341",0.041290434,0.063923543,"Herbarium",1971
"805","TRHS342",0.036248319,0.069116951,"Herbarium",1989
"806","TRHS343",0.03905537,0.06730056,"Herbarium",1981
"807","TRHS344",0.038100255,0.066080677,"Herbarium",1987
"808","TRHS345",0.042611587,0.06766028,"Herbarium",1933
"809","TRHS346",0.04066165,0.066443216,"Herbarium",2013
"810","TRHS347",0.037936175,0.065650995,"Herbarium",2020
"811","TRHS348",0.030918107,0.070215597,"Herbarium",2004
"812","TRHS349",0.037740059,0.070161157,"Herbarium",1996
"813","TRHS350",0.043356127,0.042763346,"Herbarium",1962
"814","TRHS351",0.044507799,0.066054591,"Herbarium",1941
"815","TRHS352",0.043044694,0.063804044,"Herbarium",1933
"816","TRHS353",0.039359262,0.065355917,"Herbarium",1969
"817","TRHS354",0.045909367,0.04227059,"Herbarium",1949
"818","TRHS355",0.045334008,0.060373287,"Herbarium",1949
"819","TRHS356",0.031383555,0.061443058,"Herbarium",2003
"820","TRHS357",0.034326213,0.067116844,"Herbarium",1976
"821","TRHS358",0.040590646,0.069709504,"Herbarium",NA
"822","TRHS359",0.038934536,0.06981323,"Herbarium",1971
"823","TRHS360",0.028295528,0.06663011,"Herbarium",1973
"824","TRHS361",0.045131788,0.061044228,"Herbarium",2002
"825","TRHS362",0.039184182,0.067231435,"Herbarium",1990
"826","TRHS363",0.025848769,-0.012899692,"Herbarium",1966
"827","TRHS364",0.016437392,-0.028880993,"Herbarium",1931
"828","TRHS366",0.036843008,-0.022920687,"Herbarium",1876
"829","TRHS367",0.042188265,0.056302039,"Herbarium",1949
"830","TRHS368",0.036813898,0.064482458,"Herbarium",1965
"831","TRHS369",0.034418679,0.061581003,"Herbarium",1965
"832","TRHS371",0.01350043,-0.032892042,"Herbarium",1898
"833","TRHS372",-0.021001286,-0.026164302,"Herbarium",1991
"834","TRHS373",0.01361095,-0.030668748,"Herbarium",1991
"835","TRHS374",0.010931173,-0.034832881,"Herbarium",1991
"836","TRHS375",0.017571972,-0.031966694,"Herbarium",2001
"837","TRHS376",0.016671725,-0.030964628,"Herbarium",1939
"838","TRHS377",0.010149901,-0.029337416,"Herbarium",1959
"839","TRHS378",0.019090223,-0.033599815,"Herbarium",2008
"840","TRHS379",0.027244622,-0.033296329,"Herbarium",1962
"841","TRHS380",0.013765503,-0.027743068,"Herbarium",1972
"842","TRHS381",0.017178135,-0.032383202,"Herbarium",1996
"843","TRHS382",0.019159269,-0.030313661,"Herbarium",1984
"844","TRHS383",-0.011112427,-0.029246479,"Herbarium",1983
"845","TRHS385",-0.013283236,-0.028966471,"Herbarium",2021
"846","TRHS386",0.027159046,-0.033837127,"Herbarium",1891
"847","TRHS387",0.025568789,-0.031066424,"Herbarium",2010
"848","TRHS388",0.011124989,-0.028872522,"Herbarium",1935
"849","TRHS389",0.008589417,-0.034151896,"Herbarium",1993
"850","TRHS390",0.003161493,-0.034741632,"Herbarium",2014
"851","TRHS391",0.006669345,-0.029246754,"Herbarium",1990
"852","TRHS392",0.016959232,-0.034389178,"Herbarium",1891
"853","TRHS393",0.010409392,-0.029838374,"Herbarium",1975
"854","TRHS394",0.006421929,-0.030308773,"Herbarium",1993
"855","TRHS395",0.009212373,-0.034561304,"Herbarium",2005
"856","TRHS396",0.001535271,-0.007077014,"Herbarium",1978
"857","TRHS397",0.009705338,-0.035717536,"Herbarium",2012
"858","TRHS398",0.032251699,-0.037259172,"Herbarium",1971
"859","TRHS399",0.032706214,-0.022696506,"Herbarium",2011
"860","TRHS400",0.025246268,-0.025055445,"Herbarium",1877
"861","TRHS401",0.036021491,-0.036991616,"Herbarium",2001
