"","Samp","K3Q2S1964_LD","K3Q1S1964_LD","K3Q3S1964_LD","Country","Year","TimeBin","SampleN","lat","lon"
"137","Landshut_49_19",0.021465516,0.114852206,0.863682278,"Germany",2018,"Contemp",NA,48.52961,12.16179
"138","Landshut_49_2",0.022260613,0.063512165,0.914227222,"Germany",2018,"Contemp",NA,48.52961,12.16179
"139","Landshut_49_8",0.0406542,0.051394827,0.907950973,"Germany",2018,"Contemp",NA,48.52961,12.16179
"140","Landshut_4_9",0.044998136,0.209114584,0.745887279,"Germany",2018,"Contemp",NA,48.52961,12.16179
"141","Landshut_50_13",1e-09,0.347614892,0.652385107,"Germany",2018,"Contemp",NA,48.52961,12.16179
"142","Landshut_50_14",0.146957471,0.206147929,0.6468946,"Germany",2018,"Contemp",NA,48.52961,12.16179
"143","Landshut_50_16",0.055322121,0.015155844,0.929522035,"Germany",2018,"Contemp",NA,48.52961,12.16179
"144","Landshut_50_20",0.099044093,0.097917219,0.803038688,"Germany",2018,"Contemp",NA,48.52961,12.16179
"145","Landshut_50_2",0.100135401,0.08172306,0.818141539,"Germany",2018,"Contemp",NA,48.52961,12.16179
"146","Landshut_50_5",0.027060025,0.112681222,0.860258753,"Germany",2018,"Contemp",NA,48.52961,12.16179
"147","Landshut_50_6",0.031906314,0.194496031,0.773597655,"Germany",2018,"Contemp",NA,48.52961,12.16179
"148","Landshut_50_8",0.049284475,0.208813504,0.741902021,"Germany",2018,"Contemp",NA,48.52961,12.16179
"149","Landshut_50_9",1e-09,0.341430494,0.658569505,"Germany",2018,"Contemp",NA,48.52961,12.16179
"150","Landshut_51_10",0.02449447,0.204551997,0.770953532,"Germany",2018,"Contemp",NA,48.52961,12.16179
"151","Landshut_51_13",0.012569012,0.19758189,0.789849099,"Germany",2018,"Contemp",NA,48.52961,12.16179
"152","Landshut_51_14",0.025729565,0.34949213,0.624778305,"Germany",2018,"Contemp",NA,48.52961,12.16179
"153","Landshut_51_15",0.050036378,0.161659561,0.788304061,"Germany",2018,"Contemp",NA,48.52961,12.16179
"154","Landshut_51_16",0.018439741,0.131886936,0.849673323,"Germany",2018,"Contemp",NA,48.52961,12.16179
"155","Landshut_5_11",1e-09,0.099471169,0.90052883,"Germany",2018,"Contemp",NA,48.52961,12.16179
"156","Landshut_5_12",0.056619495,0.032559386,0.910821119,"Germany",2018,"Contemp",NA,48.52961,12.16179
"157","Landshut_51_2",0.015891508,0.281721022,0.70238747,"Germany",2018,"Contemp",NA,48.52961,12.16179
"158","Landshut_5_13",0.030001313,0.096506034,0.873492653,"Germany",2018,"Contemp",NA,48.52961,12.16179
"159","Landshut_51_4",7.58e-05,0.272175117,0.727749049,"Germany",2018,"Contemp",NA,48.52961,12.16179
"160","Landshut_5_14",0.015283914,1e-09,0.984716085,"Germany",2018,"Contemp",NA,48.52961,12.16179
"161","Landshut_5_15",0.061977744,0.101481695,0.836540561,"Germany",2018,"Contemp",NA,48.52961,12.16179
"162","Landshut_51_6",0.055376095,0.24479376,0.699830145,"Germany",2018,"Contemp",NA,48.52961,12.16179
"163","Landshut_51_7",0.040675187,0.247916019,0.711408793,"Germany",2018,"Contemp",NA,48.52961,12.16179
"164","Landshut_51_8",0.00171822,0.231594452,0.766687328,"Germany",2018,"Contemp",NA,48.52961,12.16179
"165","Landshut_5_19",1.41e-06,1e-09,0.999998594,"Germany",2018,"Contemp",NA,48.52961,12.16179
"166","Landshut_5_1",1e-09,0.058631591,0.941368408,"Germany",2018,"Contemp",NA,48.52961,12.16179
"167","Landshut_5_20",0.05424161,0.090362102,0.855396287,"Germany",2018,"Contemp",NA,48.52961,12.16179
"168","Landshut_5_6",0.048962422,1e-09,0.951037577,"Germany",2018,"Contemp",NA,48.52961,12.16179
