"","Year","Spain","UK","France","Poland","Belgium","Germany","Sweden","Greece","Region"
"1970",1970,0.026220920020195,0.0279969491032559,0.93432859009699,7.28597825401574e-09,0.0114267655192414,2.55089197656039e-05,7.8672018773496e-07,4.72334385596859e-07,"North"
"1971",1971,9.63739200990727e-18,0.48261604173471,3.32835463583284e-05,6.24165017675574e-16,0.517350674266089,4.53134573957485e-14,4.5279608859888e-10,8.23021253727915e-23,"North"
"1972",1972,6.61681495914609e-13,0.384686515996926,0.00144802696917501,1.61063329188538e-11,0.613865157815482,9.22310793658541e-10,2.98279338295912e-07,1.61553262950143e-16,"North"
"1973",1973,1.11752616987591e-12,0.293183132883286,0.00234635512404813,2.79181887794431e-11,0.704470014320721,1.77032080485093e-09,4.95872588002699e-07,3.45684841730435e-16,"North"
"1975",1975,4.32360385902949e-13,0.206735674705292,0.00170454138820621,1.23994601431309e-10,0.791558058386201,4.08803712783568e-09,1.72130783585657e-06,5.1150231436428e-16,"North"
"1977",1977,0.490191489304815,0.199159995954991,0.00927458694544786,6.31890440591169e-08,0.300814413984204,0.000160860165215418,1.67944795123334e-07,0.000398422511488595,"North"
"1978",1978,1.06011238636294e-06,0.132807241071382,0.25809127357173,2.42241178218878e-06,0.608308923297387,0.00016652198850314,0.000622548088244522,9.45858448905996e-09,"North"
"1979",1979,4.05533166311624e-13,0.296615629198425,0.00163262534054028,1.37588650424729e-11,0.701751422586521,8.30761094652393e-10,3.22029587869661e-07,1.06959720134345e-16,"North"
"1980",1980,4.46506430211233e-17,0.468490707163911,5.90019655169632e-05,1.69639375596459e-15,0.531450290035706,1.45272684261009e-13,8.34718597241383e-10,5.14854361767226e-22,"North"
"1982",1982,4.22471017274038e-16,0.443164216682526,0.000111323667022005,4.57273282047933e-14,0.556724453058925,2.55926661867702e-12,6.58892221300734e-09,3.07075567557604e-20,"North"
"1983",1983,7.77487947919799e-11,0.0467189926547277,0.00989390016213281,4.96880681317424e-06,0.940303369267008,2.83096330003399e-05,0.0030504593714404,2.71284089870712e-11,"North"
"1984",1984,2.72104107550212e-14,0.275523184161459,0.000634491440987509,8.5846101746196e-12,0.723842048531297,2.80016477339448e-10,2.75577627864184e-07,1.14769887612756e-17,"North"
"1985",1985,2.76043163383378e-13,0.357769372957791,0.00138827371196948,3.06839340367675e-12,0.640842247625742,2.58039752171043e-10,1.05443113064574e-07,2.96877328840893e-17,"North"
"1987",1987,3.77128020929079e-13,0.205160704501705,0.00163023359833363,1.19510684971937e-10,0.793207358497189,3.85289897332582e-09,1.69942998468151e-06,4.55057818722091e-16,"North"
"1988",1988,1.36119523777797e-09,0.26848597481586,0.0286028582666023,3.40250803844109e-09,0.702901719823139,3.05014608888644e-07,9.13731500752954e-06,1.07880859440422e-12,"North"
"1990",1990,1.70699398256482e-12,0.164188847237714,0.00277354157815612,1.03188666832213e-09,0.833030101516927,2.59819448745081e-08,7.48265165797723e-06,5.56369345712505e-15,"North"
"1991",1991,1.80281949336102e-08,0.25817054226675,0.0314073534712793,0.000395809232388136,0.675530008407573,0.00129687698219781,0.0331993824505275,9.16108893737831e-09,"North"
"1992",1992,7.60590491541603e-13,0.201351797350143,0.00208248165049177,2.03870527377908e-10,0.796563336451041,6.66018799875611e-09,2.37768350473974e-06,1.04020945670954e-15,"North"
"1993",1993,1.93240957787974e-13,0.248907001331991,0.000820154270896643,2.11483040856262e-10,0.750270764693408,4.72862768623176e-09,2.07476339982194e-06,6.65006436445959e-16,"North"
"1994",1994,3.98337435197906e-12,0.333968329507933,0.00360462994299787,2.58334298029231e-11,0.662426631355423,2.26607971584888e-09,4.06897749146575e-07,7.61201485694248e-16,"North"
"1995",1995,4.74961749760915e-09,0.455425160743471,0.0397455590273397,1.50862102912242e-10,0.504828526318894,4.39820197816488e-08,7.05027495266508e-07,3.0060922871451e-13,"North"
"1903",1903,3.20442828656196e-16,0.49310128426385,0.000116634775534581,3.69906176054814e-15,0.506782079744133,4.10234648844246e-13,1.21606853591067e-09,3.33180233328164e-21,"South"
"1908",1908,0.994312699721417,6.29523404049225e-06,0.00568030824356008,5.16134774164763e-13,4.21720885744066e-07,4.2990652989089e-08,1.27325522830844e-11,2.32076195049183e-07,"South"
"1909",1909,0.445166461144732,0.00372677310434407,0.550090270120108,2.59287560956527e-09,0.00099111820636028,2.17549750315284e-05,1.18817495987776e-07,3.50103905214738e-06,"South"
"1910",1910,2.65425753681153e-14,0.445901804940193,0.000576330961885925,1.36831681655059e-13,0.553521851850673,1.5839943750228e-11,1.22312443489055e-08,7.5014680718844e-19,"South"
"1920",1920,4.99016654314092e-12,0.100080554556823,0.00399661939291196,2.50987650590579e-08,0.895847520041113,3.32991057900502e-07,7.49479142313383e-05,1.0727981522882e-13,"South"
"1931",1931,0.485740830932526,0.149275399575434,0.0148429593021736,4.2672424773081e-12,0.350140593100318,3.81514984241707e-08,1.0892557490766e-07,7.00082089733097e-08,"South"
"19331",1933,0.982905311938232,4.68386028294242e-05,0.0170451117510379,3.5253920671144e-13,2.60880408756622e-06,3.45023714399691e-08,1.84580305339399e-11,9.43826307639191e-08,"South"
"19361",1936,0.484448767948861,0.201530021701139,0.0156545899651455,3.7064789706997e-13,0.298366542196397,2.56038827783487e-08,5.8906007870313e-09,4.66936035553088e-08,"South"
"19411",1941,0.9882668962448,2.66964555411939e-05,0.0117051122320671,1.44317336879803e-13,1.21369858605248e-06,1.80517242408182e-08,7.11771485873573e-12,6.3310019151184e-08,"South"
"1943",1943,8.82113374280751e-15,0.539968978234158,0.000360284893776054,1.22048859744121e-14,0.459670734766921,2.1313438140873e-12,2.10299205811353e-09,6.91566794986228e-20,"South"
"1944",1944,1.48068492319966e-13,0.558925805324065,0.000964856583579349,4.91966519609292e-14,0.440109333605164,1.14489774667986e-11,4.47554560404984e-09,1.20822306611873e-18,"South"
"19461",1946,4.46678547649002e-16,0.625509043466708,0.000114601995706778,3.79697051430413e-16,0.374376354343765,8.62790943849921e-14,1.93733655649062e-10,9.17153995519591e-22,"South"
"19471",1947,3.98835912820783e-05,0.295313915965954,0.528402199000423,1.89036736504813e-09,0.176240344628212,2.27932310380499e-06,1.37463174696588e-06,9.68910722709869e-10,"South"
"19481",1948,1.95718074235478e-12,0.691337446291857,0.00109712418288139,1.47973565396575e-15,0.307565429329685,1.62512142878543e-12,1.91992798594485e-10,9.03335411408624e-19,"South"
